index,FUNDEB (Milhões R$),Média Objetiva,Média Redação,Escolaridade Mãe,Renda Média (Índice),Vagas SISU
FUNDEB (Milhões R$),1.0,0.4087356746111186,0.7706537239044652,0.7998668278476871,0.41519239851915846,0.09267538984968282
Média Objetiva,0.4087356746111186,1.0,0.39887013625287693,0.6582130197336542,0.6158459369306706,-0.32482224083590255
Média Redação,0.7706537239044652,0.39887013625287693,1.0,0.9048304174966635,0.7578671260310683,-0.44227371388557196
Escolaridade Mãe,0.7998668278476871,0.6582130197336542,0.9048304174966635,1.0,0.8138687997501377,-0.3932200068831769
Renda Média (Índice),0.41519239851915846,0.6158459369306706,0.7578671260310683,0.8138687997501377,1.0,-0.8036897446256308
Vagas SISU,0.09267538984968282,-0.32482224083590255,-0.44227371388557196,-0.3932200068831769,-0.8036897446256308,1.0
