Variável,Importance
Rede: Municipal,0.0001944339997330568
Renda Familiar,0.015929764978603513
Município da Escola,0.03455979676941289
Repasse FUNDEB (R$),0.034781974300018365
Escolaridade da Mãe,0.13806448195410126
Rede: Privada,0.3777722124903671
Rede: Federal,0.398697335507764
